Username,Tanggal,Bintang,Komentar
Dedik,2024-04-09,3,Ketika ada notifikasi gempa atau prediksi cuaca kenapa di klik tidak otomatis membuka aplikasi langsung? Kenapa harus buka aplikasi lagi? Merepotkan.
Edi Sudarto,2024-04-08,5,Bagus sekali....👍👍👍
Ramaditya D.,2024-04-07,3,klo buka tab gempabumi sering ngelag
Basirun Talo,2024-04-05,5,𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢 𝐲𝐠 𝐬𝐚𝐧𝐠𝐚𝐭 𝐦𝐞𝐦𝐛𝐚𝐧𝐭𝐮 𝐦𝐚𝐧𝐭𝐚𝐩
Kharisma Kharis,2024-04-05,1,"Tadi sore ada gempa disekitar bandara juanda sidoarjo, kok gak ada info yang muncul di apknya?"
Rio agung,2024-04-04,5,Sangat membantu
Ismail Moridu,2024-04-04,5,Good
Gabriel Sagala,2024-04-03,4,"min darkmode min pls, sakit mata saya lihat layar putih 😭"
Watanabe You,2024-04-03,5,"Aplikasi yang bener bener berguna, cuman ada beberapa masalah yang sebenarnya nggak terlalu penting tapi agak meresahkan saya, yaitu tombol menunya itu kalau nggak diklik beberapa kali nggak buka menunya :|"
Putri Sari,2024-04-02,3,Hbis upgrade knp mlah g bisa d buka apk nya😢
sumadiyana 61,2024-04-01,5,Informasi cepat.
Zn Abye,2024-03-31,1,"Aplikasinya makin ngawur aja ini, masa realnya hujan keterangannya cerah berawan🤦🤦🤦🤦"
YEO 'os,2024-03-30,5,Gempa terus dan terus tapi ga apa bintang 5 ⭐🌟⭐🌟⭐
Onny Hardianto Publicist,2024-03-30,5,"titik gempa itu sebenarnya tidak cuma satu saja , namun seharusnya memperhatikan tampilan gempa kecil kecil , di detik yang sama di banyak tempat yang berbeda lokasi ratusan kilometer , ada yang di dasar laut di utara maluku , dan di detik yang sama juga terjadi di pulau jawa akibat gunung yang sedang mengeluarkan asap agak banyak di hari itu , dan tampilan nya bisa dibedakan dari warna merah , merah muda , merah tua , sehingga gempa itu bukan dari perasaan nya sendiri , badan nya goyang goyang"
Taufik Mrf,2024-03-29,5,"Mohon tambahkan fitur widget cuaca untuk home screen, supaya satset, ga usah buka aplikasinya dulu 🙏"
Faiz Altaf,2024-03-29,4,Tolong tambahkan alarm gempa bumi
UpNormal Traveller,2024-03-29,2,Aplikasinya sangat membantu tapi terkadang mengalami BUG. Mohon perbaikannya. Terimakasih
Ahmad Soehardi,2024-03-28,4,"Laporan Gempa dan Cuaca, cukup akurat"
Awal Syahrani,2024-03-28,5,Infox cepat dan tepat...
Sri Sulistijani,2024-03-28,1,"BMKG jangan berbohong terus dong. BMKG sangat luar biasa tidak akurat. BMKG hanya penipu. Setiap hari katanya seharian hujan deras tapi kenyataannya panas luar biasa. Dari pagi sampai malam katanya hujan deras tapi kenyataannya panas, matahari bersinar sangat cerah tanpa awan apapun ☀️. BMKG tidak pernah benar selalu berbohong panas dibilang hujan & sebaliknya. Perbaikilah keakuratannya. Bawalah hujan ke Jawa Timur. Hujan di Jabar & Jateng hanya jadi bencana jatuhkan di Jatim jadi berkah"
Rosi Semarang Barat,2024-03-26,5,Sangat bermanfaat
Eka Putriasih,2024-03-26,5,Yg terhormat pembuat apk bmg. Bagus se apkikasinya cuma.... Mbokya notifnya itu muncul pas mau ada gempa gitu loh kayak bmg orang jepang. Biar hp ini gk panas soale muncul notif mulu 🤦‍♀️ mau dimatiin notifnya kok parno..... Tolong ya...... Plis.... Banget....
Adbul Rasmid,2024-03-26,5,Terima kasih mudah2an bermanfaat
Antoni Antoni,2024-03-26,5,Sangat bermanfaat
Fahimma Dinina,2024-03-26,1,otaku lebih
S qurrasyiq,2024-03-26,5,Saran saja Lebih baik tambah notifikasi suara akan terjadinya gempa.soalnya lagi banyak gempa
Desrianti Tanjung,2024-03-25,5,sangat membantu untuk antisipasi mengurangi dampak bencana..dan meminimalisir korban harta dan jiwa
Irwan Kepahiang,2024-03-25,1,tidak akutat terpaksa q uninstal
Muhammad Masruchan,2024-03-25,3,"Kok ngak akurat ya perkiraan cuacanaya, lebih akurat notif yg bawaan dari hape."
IRWAN Bogell,2024-03-25,4,"Bagus, sangat membantu.Semoga ke depannya menjadi lebih baik"
Lisa Rutherford,2024-03-24,2,"Beresin bugnya dong, masa buka app nya gabisa gegara bug? Ampe di FC mlu sm samsungnya tuuu"
saifull hadi,2024-03-24,5,Sangat membantu..
Ashal Ashal,2024-03-24,5,Ok
Hajir,2024-03-24,5,"App yg akurat dan bermanfaat membantu Rakyat Indonesia dalam mengetahui Cuaca keadaan Alam, agar dapat selalu Bersyukur dan menjaga Alam tetap Lestari."
Laurentius Hasamoni,2024-03-24,5,Sangat baik jaringannya .
Afifatul Azizah,2024-03-24,3,"Kenapa ya sekarang kok notif nya suka telat, biasanya notif sama kejadian suka sinkron"
MEDAN MARKET,2024-03-24,5,Good
APC Agency Pertukangan Center,2024-03-24,4,"Coba bisa di tingkatkan lagi, Tambahkan fungsi alarm suara peringatan jika terjadi gempa bumi, kalau hanya notif biasa gak ngaruh mesti buka aplikasi dlu baru tau kalo ada gempa"
Meylani Feb,2024-03-24,5,"Keren app nya, semoga bisa ada widget"
sulhan azhar,2024-03-24,4,sangat membantu sekali untuk informasi geologi dan cuaca
Ahmad Rafi,2024-03-24,5,"Untuk developer, aplikasi ini tidak bisa bekerja jika DNS adsense guard di ponsel aktif🙏"
Boboi Boy,2024-03-23,4,Assalamualaaikum salaaam
Kahar Uddin,2024-03-23,5,bagus
Muhamad Toha,2024-03-23,4,Kurang akurat
Ranu Hendra,2024-03-23,3,"Kenapa punya saya berhenti di awal ya, nda buka² aplikasi nya"
Jefri Au,2024-03-23,5,Bisa gak bmkg memberi informasi gempa bumi sebelum terjadi?
Suwadi 3676,2024-03-23,5,Add
Ai Lin,2024-03-23,2,"Utk bmkg update gempa harus benar.. Sidoarjo kmrn tgl 23/03/24 juga merasakan gempa dan itu kekuatannya juga seperti 7. Kok cuman SBY saja yg kena,Sidoarjo juga merasakan gempa. Update yang benar. Lah🙏🏻🙏🏻"
Khansa Chanel,2024-03-22,5,Kalo da alarm sblm gempa / stunami lebih bagus lagi kyk di jepang
Mali44k_,2024-03-22,5,Terimakasih atas 🙏🙏🙏🙏 membantu 😭
perth prthiwi,2024-03-22,5,Mantab
mobile legends,2024-03-22,5,"Tolong Developer tambahin fitur Peringatan Darurat Gempa Bumi diHandphone agar bisa bunyi sendiri/bergetar ketika ada Gempa Bumi diwilayah yang terkena, seperti negara² lain"
Iwan Nds,2024-03-22,5,Tolong ditambah menu tersendiri untuk mitigasi jika terjadi gempa bumi atau bencana alam yang lain 🙏🏻
Muhammad Hairullah,2024-03-22,4,Saya coba dlu kalau benar membantu saya kasih bintang lima
Aldo,2024-03-22,5,Membantu banget
Masudi Masudi,2024-03-22,5,Nice good apk
pardhi thok,2024-03-22,5,Akurat
Supriyono Supri,2024-03-22,1,Oke
Muhammad Ridwan,2024-03-22,5,"aplikasi bagus, kalo bisa nih aplikasi dapat disematkan ke aplikasi bawaan ponsel resmi di indonesia,, jadi tiap beli dah pasti punya ini aplikasi, sama peringatan dini muncul teratas untuk jarak 10-50km dari tempat kejadian, bair terasa sepwrti peringatan dini gempa jepang hanya orang disekitar dampak kejadian yang dapat."
Jalan Jalan Sore,2024-03-22,5,Bagis
Nanang Dwi w,2024-03-22,5,sangat bagus.. untuk info akurat.. mohon diupdate terus sampe ada Warning Bahaya utk lokasi terdekat.. biar bs terkoordinasi dengan baik dan pasti mengurangi berita2 yg g jelas
Romeo Jr,2024-03-22,3,Kelamaan kirim notifikasinya
All Creative,2024-03-22,5,Ok
Setio Suwito,2024-03-22,5,Sangat membatu semoga lebih baik lagi sukses terus bmkg
Ring finansial Ring,2024-03-22,4,Kalsel kena gempa
Moh Faiq Ghafur Amt Pmk,2024-03-22,5,Sy akan menggunakan aplikasi ini juga harus bisa
Vincent Jopiter,2024-03-22,3,"Sebenernya ini aplikasi bagus namun, notif selalu keluar setelah kejadian, tidak sesuai dengn namanya yg ""peringatan sebelum gempa"""
ART SAS,2024-03-22,1,Ngefrezze ga bisa di buka
Endra Andiantono,2024-03-22,5,Sangat bagus untuk kehidupan manusia
Iswanto Wanto,2024-03-22,5,Bagus bngt
Arya Al abqari firmansyah ali,2024-03-22,5,Bagus real time nya benar
yb wawan,2024-03-22,5,sangat membantu
Herman Suherman,2024-03-22,1,Ujan di bilang cerah Ga sesuai dengan cuaca ya
purna nugraha,2024-03-21,5,Informatif & mudah digunakan
Abu Sekam,2024-03-21,5,Bagus lebih akurat dari google. Tapi pengen ada widget layarnya
Han Hanny,2024-03-20,4,membantu kalau mau bepergian
Dian Amalia Hikmah (Dian A H),2024-03-20,5,👍👍👍👍👍👍
nelayan flotim,2024-03-20,5,Ok
Dista Dd,2024-03-20,4,Markotop Banget
H451M Fishing,2024-03-19,5,Aplikasi yg sangat membantu
018_Nawla Khairun Nisa,2024-03-19,5,Aplikasi nya berguna lop yu bmkg❤️
Dea Febe Anjani,2024-03-18,4,semoga ada update tambahan widget biar bisa liat langsung info cuacanya
RONI UMBU MUDA,2024-03-18,5,Terima kasih😇
Dini Sari Siregar,2024-03-18,5,Guss baguss
Bq Sahinun,2024-03-18,5,Terima kasih atas informasinya
ANANDA PUTRA ASWINABAWA,2024-03-17,5,Good
Aldi Prasetyo,2024-03-17,5,Min klo boleh saran untuk radar hujan maps dibuat seperti google maps jangan dibuat peta hitam. Terimakasih
Lyandra Leon,2024-03-17,5,Jadi gini..
Inten Widi,2024-03-17,3,Tempat saya baru saja terjadi gempa tp tdk ada info di aplikasinya. Payah
Reky Sudy,2024-03-17,4,Oke
Sunarto 81,2024-03-17,5,Dukungan BMKG Indonesia 6 Dunia preode 1 interaksi alam indonesia
Workshop Shavan,2024-03-17,5,Sangat penting buat peringatan bencana
Amat Nurhoman,2024-03-17,5,buat cek cuaca bmkg dan potensi hujam
Ade Rasmani,2024-03-17,4,Ok
Widada Widada,2024-03-17,5,Sangat membantu informasi
Edy Kambil,2024-03-17,4,Semoga akurat info bmkg ini.
Sutrisno Utomo,2024-03-17,5,Alhamdulilah walau hanya sekedar prediksi bagaian dari upaya manusia memforcash gejala alam tapi kita harus yakin ada Yang Maha Benar pembuat Keputusan
Paurosi Yulius Susanto,2024-03-17,5,very good
86 norsandi,2024-03-17,5,Okai
Andi Wahid,2024-03-16,5,"Kalo dikasih fitur, rute perjalanan kita diberikan informasi cuaca keren tuh... Jadi kita bisa prepare dalam perjalanan"
Arno wijaya,2024-03-16,5,Mendung dan hujan gerimis
Karwanto Putro,2024-03-16,5,Alhamdulillah
Black Stones,2024-03-16,4,"aplikasi sudah bagus, tapi ada yang kurang ngak ada widgetnya kalau bisa tolong ditambahin 🙏"
Nyoman Sedana,2024-03-16,5,Sangat membantu
Rizki Fiasal,2024-03-16,5,prediksi cuacanya kurang akurat
Arden Bogor,2024-03-15,1,Mengapa sekarang aplikasi ini tidak akurat? Di aplikasi keterangan daerah saya cerah berawan. Tapi nyatanya hujan lebat. Tolong kalau seperti ini apa gunanya punya aplikasi?jika kita tidak bs bersiap2 dan berjaga2 dengan cuaca
Aliman Aliman,2024-03-15,5,Sangat membantu dan bermanfaat
Yabez J,2024-03-14,5,"Bagus, pertahankan, dengarkan kritik & saran dari yang lain, terimakasih."
Aditiya Adnan,2024-03-14,4,"Kalo bisa di akses offline bagus si.. Kdg ada warga kena banjir pasti jaringan jelek, dan butuh info terbaru gk perlu pake data"
Sono Keling,2024-03-14,1,Tidak akurat.. GPS aktif terus kondisi sedang hujan deras di apk kok masih mendung.
Hasanudin Aan,2024-03-14,5,Info Bmkg tambah wawasan! Kita
Abdul Muiz,2024-03-14,1,Perkiraan cuacanya tidak berfungsi
BUSRIADI 01,2024-03-14,1,Sering juga buka ini
NIDZOMATIL HIKMAH,2024-03-13,5,Bagussssss
Noer Alie,2024-03-13,4,"Tolong sediakan widgetnya agar memudahkan melihat informasi cuaca terkini secara lengkap (spt; info cuaca, kelembaban, kualitas udara, dll) & sediakan pula layanan share cuaca terkini. Terimakasih"
Zero,2024-03-12,4,Tolong untuk ramalan/prakiraan cuaca bisa lebih detail lagi! (supaya bisa memantau 24 jam)
Syahripulmahya Mahya,2024-03-12,5,Cukup akurat.....
Bang Dicky,2024-03-12,4,"Ok, good luck"
Khamid Khaerijah,2024-03-12,3,Makasih
channel putra palasah,2024-03-12,5,Bagis jadi tahu info tentang bencana
Hamid Pulo,2024-03-11,4,Masih di coba
sandra dewi,2024-03-09,1,Serba telat kasih peringatan!
Supry Yanto,2024-03-08,5,Bagus 👍👍👍
Ono Suharno,2024-03-08,5,Ok banget
Baban Musyafa,2024-03-08,1,Di radar cuaca lama update terbaru curah nya
Muhammad Iqbal,2024-03-08,5,"Aplikasinya bagus, prakiraan cuaca yang ditampilkan akurat. Di saat ada perubahan cuaca misalnya hujan, prakiraan cuaca berubah saat itu juga. Mungkin kedepannya pihak developer bisa buat fitur widget di layar home screen agar aplikasinya makin mantap."
wijoyo langgeng,2024-03-07,5,Sangat puaaaaas
Surya Lesmana,2024-03-07,5,Bermanfaat 👍👍👍
S Siswarjono,2024-03-07,5,Ok
Danang Widiantoro,2024-03-06,5,Alhamdulillah sangat berguna
Elyas Tkg,2024-03-05,5,"Sangat bagus membatu pekerjaan ku sebagai pelaut, Mengetahui keadaan cuaca di laut makasih Bmkg"
RajaAbangGanteng,2024-03-04,2,"Bukanya loadingnya lama banged bisa kali kalo nunggu 1 jam dan pas cari gempa malah ga ada koneksi internet padahal tangga data full cuaca cerah memadai memori aku ga berat tapi loading keneh+ satu lagi peringatan nya ga ada. Ada sih, tapi setelah gempanya"
Wawan Krisdianto,2024-03-04,1,❤️
Ilman Zuhri Yadi,2024-03-03,5,"Keren informasinya, lengkap dan detail sekali, terimakasih"
Heri Susanto,2024-03-03,5,Hujan panas
Rasyid Ramadhan,2024-03-03,3,"1. GPS TIDAK AKURAT, terpaksa pake manual... 2. TIDAK ADA WIDGET, 3.., tidak ada penjelasan rinci tingkat UV dan Indeks kualitas Udara"
Muhammad Gusnadi,2024-03-02,5,"Aplikasinya akurat, namun jika boleh kasih saran. Tolong untuk ditambahkan fitur widget ya"
harfi subhan,2024-03-01,5,"Kalo bisa dikasih fitur widget untuk perkiraan cuaca,biar ga bulak balik cek aplikasi 👍"
Eyang Noery (Eyang),2024-02-28,4,Bermanfaat utk atur kerja petani
Katsu_16,2024-02-27,5,Noice
Satipah Pardi,2024-02-27,3,Aplikasi sudah bagus bisa untuk acuan bagi para petani untuk mengetahui cuaca yg akan terjadi.Cuma setelah di-update aplikasi malah susah dibuka
Slamet sayur,2024-02-26,5,Ok bosku
Dimas Tahes,2024-02-26,4,H o p Ramlee hh . Hh h h hh h h h h h .... A sa akuuu uyc
Xisco,2024-02-26,4,"Menurut saya pribadi aplikasi ini sangat bagus akan lebih bagus kalo ada terjadi gempa bumi di wilayah tertentu bisa membunyikan alarm peringatan terjadi gempa bumi di wilayah yang terdampak, pasti keren banget."
Ayu Syifa,2024-02-25,5,Aplikasi ini Sangat membantu saya dalam adanya gempabumi dan lain lain
Zunaeddin Nawi (D Deo),2024-02-25,5,Good
Andrew Cleon,2024-02-25,5,Good
joel purdhawisesa,2024-02-25,5,Aplikasi sangat membantu untuk kita mengetahui cuaca
pana led,2024-02-25,3,"mohon untuk di perjelas untuk prediksi hujan tiap jam, agar kami bisa bertani dengan baik terimakasih."
Bujang Anom,2024-02-24,4,coba dlu saya
Mahamad Waheb,2024-02-24,5,Sangat bagus
Pandji probo,2024-02-22,5,Sangat akurat..yah cuma melenceng dikit mah wajar namanya juga prakiraan cuaca sob...mantaaap
Gus Din,2024-02-22,1,Tdk akurat dan tdk sesuai kondisi cuaca.
Lasli Siringo-ringo (Ringo_Star),2024-02-21,4,Bagus sekali Aplikasinya ini👍👍
Arianto,2024-02-19,5,Kok gak bisa di masukin nama desany
Suci Lestari,2024-02-19,4,Bagus sih tapi dikit dikit minta update terus. Setelah di update juga jdi sering ga akurat info cuacanya
Adhitya Manggala,2024-02-17,5,Ok
Yahya Zakaria,2024-02-17,5,"Aplikasi yg bgus dan akurat,tp sayangny gk ada widget ny... Klo bsa tmbahin widget ny,sprt apk weather lainny,biar klo mau tw cuaca gk sll bka apk trus.."
Agung Agung,2024-02-16,1,"penipu nabilang berawan baru disini hujanji,pakappala tallang"
LUKMAN SHOBY,2024-02-15,3,Lama update gempa nya
Didik Agus,2024-02-15,2,.1k4
Wawan Dharma setiawan,2024-02-15,4,Membantu Alhamdulillah.
Huda Pria kusuma,2024-02-14,1,Kenyataannya jam sekarang hujan lebat disertai petir tapi di beranda Info BMKG berawan tebal dan hujan terjadi pada pukul 16.00.
maya 1793,2024-02-13,4,Kenapa setelah di update prakiraan cuacanya jadi tidak akurat Sebelumnya saat cuaca tiba-tiba hujan saat buka info BMKG prakiraan nya otomatis berubah
ID Selvia88 Selvia,2024-02-13,5,Pemasaran terbaru di provinsi Perkembangan pariwisata dan introsuktur komikasi Perkembangan daerah tingkat satu desa
Suci rkha,2024-02-13,5,❤️❤️💪
Supendi Supendi,2024-02-12,1,Prakiraan cuaca hujannya gak akurat
Djoko Soediono,2024-02-11,5,Bisa tahu cuaca hujan atau panas
slamet henik,2024-02-11,5,Mantap dan terbaik untuk bisa melihat keadaan cuaca seluruh Indonesia
LALU DANIAL PARIZI,2024-02-10,1,Aplikasi bagus sih tapi kalo pembri tahuan tetang ujan dan petir tidak akurat
Bambang Haryantho Djafar,2024-02-10,5,Owkey mantul👍👍👍🌹
Bang Sulaiman,2024-02-10,5,Oke
Deden Darwin,2024-02-10,5,bagus
Yuyun Fauzi,2024-02-09,5,Bagus aplikasinya
Rahmat Abdullah,2024-02-09,5,Mantap
Hendrizulkhairunnas 1,2024-02-08,4,Sangat membantu
Rasya Raffi,2024-02-08,5,Wow
iskandar iskandar,2024-02-08,1,Sangt bagus
nandang mulyana,2024-02-08,3,Akurat cuma udah ujan lebat baru ada info harap peebaiki lagi. kasih tau pengguna minimal 1 jam sebelum peristiwa.
Philip,2024-02-08,5,"aplikasinya sdh bagus tapi menurut saya kalau peringatan gempa notifnya langsung otomatis masuk sejam sebelum gempa seperti di jepang dan korea notif gempa otomatis di hpnya karena hp skrg sdh canggih dan ada fitur peringatan gempa tapi di indonesia belum bisa diterapkan padahal bagus sebenarnya kalau diterapkan begitu, karena di indo biasanya habis gempa baru dah itu notifnya baru masuk"
Sutrisno Puluhulawa,2024-02-07,4,Empat dlu
Zenn X,2024-02-07,3,"Kalo mau kasih info yang bermanfaat dikit lah. Masa gempa yg daerah jauh diinfokan, buat apaan? Mana notifikasi spam banyak bat lagi. Cuma Notifikasi buat peringatan akan ada gempa kaya di jepang, kan BAGUS. Jangan nyepam notifikasi yang belum tentu berguna."
Fajar Santoso,2024-02-07,5,Lebih cepat mengetahui
Hamad Yani,2024-02-06,5,bagus
Farras Raihan,2024-02-06,5,Keren aplikasi nya
Galisman Gali,2024-02-06,5,"Terima kasih kepada pemerintah dalam hal ini BMKG yang telah menyediakan aplikasi ini,saya sebagai petani merasa terbantu dalam hal mengetahui keadaan cuaca. Mohon ditingkatkan lagi agar akurasinya lebih tepat"
Angga Saputra,2024-02-05,5,MANTAP
Mujito Kusno,2024-02-05,5,Mantap
Rizha channel,2024-02-05,5,Bagus banggat
Zak Event,2024-02-05,5,Mantap
septianus b,2024-02-05,5,"Bagus, lengkap dan akurat . Trim's."
Dimas Bayu _166,2024-02-05,5,akurat
Ridho Pratama,2024-02-05,5,aplikasinya semakin baik tapi ada kekurangan. Klu di share ke wa kenapa tidak sebagus yg di aplikasi?
Al Adham Rasyah,2024-02-05,5,Bagus
Randi Andika,2024-02-05,5,Bagus aplikasi
abah tea,2024-02-05,5,aktual
dzikry ghasyadi,2024-02-05,5,Lemot dalam update
Bakri asri,2024-02-05,5,Sangat berguna
Pandi Wira Nata,2024-02-05,5,"Apk nya bagus, cuma update nya kurang responsif"
Hari Purnomo,2024-02-04,5,Sangan membantu
Isam G,2024-02-04,5,mantap
nurjanah janah,2024-02-04,4,Ya ok bangt
S RK,2024-02-04,5,Sangat membantu
Subambang Kadiran,2024-02-04,5,Bagus bisa update
JOO,2024-02-04,4,Perkiraan nya lebih dari 10 menit
BNG Kiyboy,2024-02-03,5,kekurangan nya adalah pas mau cari lokasi selalu gagal padahal lokasi aktif wifi lancar aneh bet pokok nya
Satria Malam,2024-02-03,4,Pemberitahuan ada gempa sering terlambat
Rizqi Januar,2024-02-03,1,Parah mSa setiap hari
Dira,2024-02-03,5,Sangat membantu masyarakat miskin
Channel qyu ibenk,2024-02-03,5,Akurasi
Perdinan Sitanggang,2024-02-02,5,Sangat penting dalam kewaspadaan
DikiiCuyy,2024-02-02,5,🌟 5
Agus Maulana saputra,2024-02-02,5,aplikasi nya bagus bisa lihat radar memantu pergerakan awan hujan
Welly Wangarrij,2024-02-02,5,Sangat bermanfaat utk mengetahui lingkungan sekitar Indonesia .
Handri Iroth,2024-02-02,5,Good
Ali Usman,2024-02-02,5,Suka
Arman Winalda,2024-02-02,5,Sangat puas
Heru tri Nugroho,2024-02-02,5,👍
Evelyn Paulus,2024-02-02,5,Terima kasih info BMKG karena sudah menemani saya 🌟🌟🌟🌟🌟
aku zina,2024-02-02,5,sangat membantu sekali...... sangat berguna sebagai pedoman
Kevin Hilmawan,2024-02-02,5,Ok
"Reza,sabrian Sabryan",2024-02-01,5,REZA'SABRIAN'ALMADANI
Bambang Hariyanto,2024-02-01,5,INFO BMKG SANGAT LAH PENTING SEKALI WASSALAM'UALAIMUM WR.WB. H.BAMBANG HARIYANTO.
Putra Pratama (Narayan),2024-01-30,3,Lokasi tidak bisa di tampilkan
UWONG NDESO,2024-01-29,5,Luar Biasa
Putu susila Arta,2024-01-29,5,Baik
Yudi San,2024-01-28,5,Membantu banget soal cuaca
Adi Aja,2024-01-28,5,"Apk yang sangat membantu walaupun apk kadang eror ntah karna di butuhkan sinyal yang cocok jg atau gmn ,TPI bersyukur"
SCHENE,2024-01-27,4,"Untuk UI notifikasi gempanya jangan kotak saja, biar terlihat lebih bagus bisa diganti menjadi logo aplikasi bmkgnya"
Randa Rozan,2024-01-27,1,Error dan ssh update
Karina Riva,2024-01-27,1,Tolong lah bmkg... Kenapa selalu telat pemberitahuan nya...
ferry piyoh,2024-01-27,5,Ok..
Iful Nss Bulukumba,2024-01-27,5,Sangat berguna
dilal saputra,2024-01-27,5,Bbgus baasa membntu
Sindi Maharani Maharani,2024-01-27,5,Dapat membantu banget
Hardiansyah,2024-01-26,5,Terimakasih BMKG atas informasinya tentang cuaca
Jihat ade Raja paroso,2024-01-26,4,Alhamdulillah bisa membantu
